a	あ
i	い
u	う
e	え
o	お
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
tsa	つぁ
tsi	つぃ
tsu	つ
tse	つぇ
tso	つぉ
tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ
dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ
twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
hwa	ふぁ
hwi	ふぃ
hwe	ふぇ
hwo	ふぉ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
wyi	ゐ
wye	ゑ
wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ
lya	ゃ
lyi	ぃ
lyu	ゅ
lye	ぇ
lyo	ょ
xya	ゃ
xyi	ぃ
xyu	ゅ
xye	ぇ
xyo	ょ
lka	ヵ
lke	ヶ
xka	ヵ
xke	ヶ
xwa	ゎ
lwa	ゎ
xa	しゃ
xi	ぃ
xu	しゅ
xe	ぇ
xo	しょ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
ka	か
ki	き
ku	く
ke	け
ko	こ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
sa	さ
si	し
su	す
se	せ
so	そ
ca	ちゃ
ci	し
cu	ちゅ
ce	せ
co	ちょ
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ
ta	た
ti	ち
tu	つ
te	て
to	と
da	だ
di	ぢ
du	づ
de	で
do	ど
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
ye	いぇ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
nn	ん
-	ー
~	〜
.	。
,	、
z/	・
z.	…
z,	‥
zh	←
zj	ずん
zk	↑
zl	ぜん
z-	〜
z[	『
z]	』
[	「
]	」
t'i	てぃ
t'yu	てゅ
d'i	でぃ
d'yu	でゅ
t'u	とぅ
d'u	どぅ
n'	ん
xn	ん
n	ん
;;	っ
r.	る。
t.	た。
t,	と、
d.	だ。
d,	で、
m.	め。
kt	こと
st	して
sk	そこ
krd	けれど
dkrd	だけれど
sr	する
ds	です
ms	ます
mn	もの
mt	また
nr	なる
kn	この
tm	ため
;h	←
;j	↓
;k	↑
;l	→
;g	ドイツ
;d	デュッセルドルフ
;va	ゔぁ
;vi	ゔぃ
;vu	ゔ
;ve	ゔぇ
;vo	ゔぉ
ss	っ	s
yy	っ	y
cc	っ	c
bb	っ	b
ww	うぇい
tt	っ	t
pp	っ	p
zz	っ	z
gg	っ	g
hh	っ	h
kk	っ	k
dd	っ	d
ff	ふぁい
xx	っ	x
rr	っ	r
kyv	きゃん
kym	きぃん
kyj	きゅん
kyl	きぇん
gyv	ぎゃん
gym	ぎぃん
gyj	ぎゅん
gyl	ぎぇん
syv	しゃん
sym	しぃん
syj	しゅん
syl	しぇん
shv	しゃん
shm	しん
shj	しゅん
shl	しぇん
zyv	じゃん
zym	じぃん
zyj	じゅん
zyl	じぇん
tyv	ちゃん
tym	ちぃん
tyj	ちゅん
tyl	ちぇん
chv	ちゃん
chm	ちん
chj	ちゅん
chl	ちぇん
cyv	ちゃん
cym	ちぃん
cyj	ちゅん
cyl	ちぇん
dyv	ぢゃん
dym	ぢぃん
dyj	ぢゅん
dyl	ぢぇん
tsv	つぁん
tsm	つぃん
tsj	つん
tsl	つぇん
thv	てゃん
thm	てぃん
thj	てゅん
thl	てぇん
dhv	でゃん
dhm	でぃん
dhj	でゅん
dhl	でぇん
twv	とぁん
twm	とぃん
twj	とぅん
twl	とぇん
dwv	どぁん
dwm	どぃん
dwj	どぅん
dwl	どぇん
nyv	にゃん
nym	にぃん
nyj	にゅん
nyl	にぇん
hyv	ひゃん
hym	ひぃん
hyj	ひゅん
hyl	ひぇん
byv	びゃん
bym	びぃん
byj	びゅん
byl	びぇん
pyv	ぴゃん
pym	ぴぃん
pyj	ぴゅん
pyl	ぴぇん
fv	ふぁん
fm	ふぃん
fj	ふん
fl	ふぇん
fyv	ふゃん
fyj	ふゅん
hwv	ふぁん
hwm	ふぃん
hwl	ふぇん
myv	みゃん
mym	みぃん
myj	みゅん
myl	みぇん
ryv	りゃん
rym	りぃん
ryj	りゅん
ryl	りぇん
wym	ゐん
wyl	ゑん
whv	うぁん
whm	うぃん
whj	うん
whl	うぇん
lyv	ゃん
lym	ぃん
lyj	ゅん
lyl	ぇん
xyv	ゃん
xym	ぃん
xyj	ゅん
xyl	ぇん
lkv	ヵん
lkl	ヶん
xkv	ヵん
xkl	ヶん
xwv	ゎん
lwv	ゎん
xv	ぁん
xm	ぃん
xj	ぅん
xl	ぇん
lv	ぁん
lm	ぃん
lj	ぅん
ll	ぇん
kv	かん
km	きん
kj	くん
kl	けん
gv	がん
gm	ぎん
gj	ぐん
gl	げん
sv	さん
sm	しん
sj	すん
sl	せん
cv	かん
cm	しん
cj	くん
cl	せん
zv	ざん
zm	じん
jv	じゃん
jm	じん
jj	じゅん
jl	じぇん
jyv	じゃん
jym	じぃん
jyj	じゅん
jyl	じぇん
tv	たん
tj	つん
tl	てん
dv	だん
dm	ぢん
dj	づん
dl	でん
nv	なん
nm	にん
nj	ぬん
nl	ねん
hv	はん
hm	ひん
hj	ふん
hl	へん
bv	ばん
bm	びん
bj	ぶん
bl	べん
pv	ぱん
pm	ぴん
pj	ぷん
pl	ぺん
mv	まん
mm	みん
mj	むん
ml	めん
yv	やん
yj	ゆん
yl	いぇん
rv	らん
rm	りん
rj	るん
rl	れん
wv	わん
wm	うぃん
wj	うん
wl	うぇん
kq	きゃ
kx	きゅ
k;	きょ
gq	ぎゃ
gx	ぎゅ
g;	ぎょ
sq	しゃ
sx	しゅ
s;	しょ
zq	じゃ
zx	じゅ
z;	じょ
tq	ちゃ
tx	ちゅ
t;	ちょ
dq	ぢゃ
dx	ぢゅ
d;	ぢょ
nq	にゃ
nx	にゅ
n;	にょ
hq	ひゃ
hx	ひゅ
h;	ひょ
bq	びゃ
bx	びゅ
b;	びょ
pq	ぴゃ
px	ぴゅ
p;	ぴょ
mq	みゃ
mx	みゅ
m;	みょ
rq	りゃ
rx	りゅ
r;	りょ
fw	ふぇい
fp	ふぉい
xf	ぁい
xw	ぇい
xp	ぉい
lf	ぁい
lw	ぇい
lp	ぉい
kf	かい
kw	けい
kp	こい
gf	がい
gw	げい
gp	ごい
sf	さい
sw	せい
sp	そい
cf	かい
cw	せい
cp	こい
zf	ざい
zw	ぜい
zp	ぞい
jf	じゃい
jw	じぇい
jp	じょい
tf	たい
tw	てい
tp	とい
df	だい
dw	でい
dp	どい
nf	ない
nw	ねい
np	のい
hf	はい
hw	へい
hp	ほい
bf	ばい
bw	べい
bp	ぼい
pf	ぱい
pw	ぺい
mf	まい
mw	めい
mp	もい
yf	やい
yw	いぇい
yp	よい
rf	らい
rw	れい
rp	ろい
wf	わい
wp	をい
q	ー
v	ん
