a	あ
zm	ずん
zd	ぜん
jv	じゃん
jg	じん
jm	じゅん
jd	じぇん
jl	じょん
jyv	じゃん
jyg	じぃん
jym	じゅん
jyd	じぇん
jyl	じょん
tv	たん
tg	ちん
tm	つん
td	てん
tl	とん
dv	だん
dg	ぢん
dm	づん
dd	でん
dl	どん
nv	なん
ng	にん
nm	ぬん
nd	ねん
nl	のん
hv	はん
hg	ひん
hm	ふん
hd	へん
hl	ほん
bv	ばん
bg	びん
bm	ぶん
bd	べん
bl	ぼん
pv	ぱん
pg	ぴん
pm	ぷん
pd	ぺん
pl	ぽん
mv	まん
mg	みん
mm	むん
md	めん
ml	もん
yv	やん
ym	ゆん
yd	いぇん
yl	よん
rv	らん
rg	りん
rm	るん
rd	れん
rl	ろん
wv	わん
wg	うぃん
wm	うん
wd	うぇん
wl	をん
kq	きゃ
kx	きゅ
k;	きょ
gq	ぎゃ
gx	ぎゅ
g;	ぎょ
sq	しゃ
sx	しゅ
s;	しょ
zq	じゃ
zx	じゅ
z;	じょ
tq	ちゃ
tx	ちゅ
t;	ちょ
dq	ぢゃ
dx	ぢゅ
d;	ぢょ
nq	にゃ
nx	にゅ
n;	にょ
hq	ひゃ
hx	ひゅ
h;	ひょ
bq	びゃ
bx	びゅ
b;	びょ
pq	ぴゃ
px	ぴゅ
p;	ぴょ
mq	みゃ
mx	みゅ
m;	みょ
rq	りゃ
rx	りゅ
r;	りょ
fw	ふぇい
fp	ふぉい
fh	ふぉう
xf	ぁい
xw	ぇい
xp	ぉい
xh	ぉう
lf	ぁい
lw	ぇい
lp	ぉい
lh	ぉう
kf	かい
kw	けい
kp	こい
kh	こう
gf	がい
gw	げい
gp	ごい
gh	ごう
sf	さい
sw	せい
sp	そい
sh	そう
cf	かい
cw	せい
cp	こい
ch	こう
zf	ざい
zw	ぜい
zp	ぞい
jf	じゃい
jw	じぇい
jp	じょい
jh	じょう
tf	たい
tw	てい
tp	とい
th	とう
df	だい
dw	でい
dp	どい
dh	どう
nf	ない
nw	ねい
np	のい
nh	のう
hf	はい
hw	へい
hp	ほい
bf	ばい
bw	べい
bp	ぼい
bh	ぼう
pf	ぱい
pw	ぺい
ph	ぽう
mf	まい
mw	めい
mp	もい
mh	もう
yf	やい
yw	いぇい
yp	よい
yh	よう
rf	らい
rw	れい
rp	ろい
rh	ろう
wf	わい
wp	をい
wh	をう
q	ー
v	ん
